provincia,pobreza,tbn,pred,residuo
Misiones,0.458,14.68378821180992,11.459664810332939,3.224123401476982
Jujuy,0.479,8.573960613941958,11.679544313958662,-3.1055837000167035
San Juan,0.283,12.470263984946662,9.627335613451919,2.842928371494743
Santiago del Estero,0.471,14.018899120623026,11.595780693529814,2.423118427093211
Tierra del Fuego,0.305,7.970940642933695,9.857685569631247,-1.8867449266975518
Buenos Aires,0.418,9.178623271718628,11.040846708188706,-1.862223436470078
Ciudad Autónoma de Buenos Aires,0.257,7.59,9.355103847058167,-1.7651038470581675
Corrientes,0.381,12.363453875205773,10.65343996370529,1.7100139115004822
San Luis,0.234,10.155245802494024,9.114283438325234,1.0409623641687897
Tucumán,0.478,10.761504868757491,11.669073861405057,-0.9075689926475654
La Pampa,0.329,9.206892364446833,10.108976430917787,-0.9020840664709535
Neuquén,0.308,10.611163889729493,9.889096927292066,0.7220669624374274
Salta,0.451,12.083664328227506,11.3863716424577,0.6972926857698063
La Rioja,0.433,10.5050175242181,11.197903496492794,-0.6928859722746932
Río Negro,0.338,9.60172611226443,10.203210503900241,-0.601484391635811
Chaco,0.486,11.228122006685478,11.752837481833904,-0.524715475148426
Formosa,0.533,12.713151148679204,12.244948751853379,0.4682023968258253
Entre Ríos,0.377,10.147455362078889,10.611558153490867,-0.4641027914119782
Santa Cruz,0.275,9.156274180815835,9.543571993023072,-0.3872978122072368
Catamarca,0.427,10.768532579365456,11.135080781171158,-0.3665482018057027
Santa Fe,0.351,10.651662228875272,10.339326387097115,0.31233584177815743
Mendoza,0.333,10.1876963943448,10.15085824113221,0.036838153212588765
Córdoba,0.339,10.202142054540744,10.213680956453846,-0.01153890191310225
